name,country,website,institution_type,verified
Bangladesh Medical College,Bangladesh,https://www.bmc-edu.org,medical_college,false
Sir Salimullah Medical College,Bangladesh,https://ssmc.edu.bd,medical_college,false
Mymensingh Medical College,Bangladesh,https://mmc.gov.bd,medical_college,false
Rajshahi Medical College,Bangladesh,https://rmc.gov.bd,medical_college,false
Sher-E-Bangla Medical College,Bangladesh,https://sbmc.gov.bd,medical_college,false
Chittagong Medical College,Bangladesh,https://cmc.gov.bd,medical_college,false
Dhaka Medical College,Bangladesh,https://dmc.gov.bd,medical_college,false
Shaheed Suhrawardy Medical College,Bangladesh,https://shsmc.gov.bd,medical_college,false
M.A.G. Osmani Medical College,Bangladesh,https://magosmanimedicalcollege.com,medical_college,false
Khulna Medical College,Bangladesh,https://kmc.gov.bd,medical_college,false
Rangpur Medical College,Bangladesh,https://rangpurmedicalcollege.gov.bd,medical_college,false
Barishal Medical College,Bangladesh,https://bmc.gov.bd,medical_college,false
Shaheed Ziaur Rahman Medical College,Bangladesh,https://szmc.gov.bd,medical_college,false
Bangabandhu Sheikh Mujib Medical University,Bangladesh,https://bsmmu.ac.bd,medical_university,false
University of Dhaka - Faculty of Medicine,Bangladesh,https://du.ac.bd,medical_university,false
University of Chittagong - Faculty of Medicine,Bangladesh,https://cu.ac.bd,medical_university,false
University of Rajshahi - Faculty of Medicine,Bangladesh,https://ru.ac.bd,medical_university,false
Sylhet MAG Osmani Medical College,Bangladesh,https://smmc.gov.bd,medical_college,false
Cumilla Medical College,Bangladesh,https://comc.gov.bd,medical_college,false
Tangail Medical College,Bangladesh,https://tmc.gov.bd,medical_college,false
